Name,State,Country,Address,Latitude,Longitude,Google Map Link,Domestic/International,Type
Free port,,United Arab Emirates,G9P5+8M9 Zayed Port,24.5354479,54.3594479,https://www.google.com/maps/place/?q=place_id:ChIJc3_XYgBnXj4RhT5BYsu9mI8,Domestic,Unknown
Irshad Ferry Terminal,أبو ظبي,United Arab Emirates,G9P5+8JX - Unnamed Road,24.5358685,54.3591043,https://www.google.com/maps/place/?q=place_id:ChIJ1_C-8rJmXj4RNBWXQEeV5G4,Domestic,Unknown
Al Bahya Jetty,Abu Dhabi,United Arab Emirates,GJXF+X8C,24.5499387,54.6232785,https://www.google.com/maps/place/?q=place_id:ChIJLf901X5RXj4R1YUIYhX_Mbo,Domestic,Unknown
Khalifa Port Administration Office - B55,Abu Dhabi,United Arab Emirates,QMW2+FJX,24.7962116,54.6515756,https://www.google.com/maps/place/?q=place_id:ChIJD1JJfvr7Xj4RuRYbhE_Fb7U,Domestic,Unknown
Abu Dhabi Mina Poart,Abu Dhabi,United Arab Emirates,Al Mina,24.5277311,54.3750715,https://www.google.com/maps/place/?q=place_id:ChIJg1tVEcRmXj4RgD1s4PicNBU,Domestic,Unknown
Khalifa Port - Customer happiness centre,Abu Dhabi,United Arab Emirates,Al Samha - Khalifa Industrial Zone - Abu Dhabi - United Arab Emirates,24.7800025,54.7087756,https://www.google.com/maps/place/?q=place_id:ChIJE5Dv3Ln-Xj4Rg011qYT72L4,Domestic,Unknown
Zayed port gate3,Abu Dhabi,United Arab Emirates,G98V+JJ,24.5165668,54.3941342,https://www.google.com/maps/place/?q=place_id:ChIJmYFAS_hnXj4RDyjQJmPhnmo,Domestic,Unknown
AD Ports Logistics Headquarters,Abu Dhabi,United Arab Emirates,Lane 910,24.681314,54.7444092,https://www.google.com/maps/place/?q=place_id:ChIJ6TCknjpVXj4RoO-5J9tR_tw,Domestic,Unknown
Abu Dhabi Fishermen Cooperative Society -Taweelah,Abu Dhabi,United Arab Emirates,Fishermen Sea Port - near Khalifa Port,24.7852585,54.693649,https://www.google.com/maps/place/?q=place_id:ChIJi7SbPEX5Xj4Rd5jFpigWV9s,Domestic,Unknown
CSP Abu Dhabi Terminal,Abu Dhabi,United Arab Emirates,Khalifa port - Khalifa Industrial Zone - Abu Dhabi - United Arab Emirates,24.8186109,54.6563191,https://www.google.com/maps/place/?q=place_id:ChIJm2tEsfP7Xj4RGslOSvp59Ls,Domestic,Unknown
Zayed Port Gate 1,Abu Dhabi,United Arab Emirates,G98J+4XV - Al Meena St,24.5153729,54.3824335,https://www.google.com/maps/place/?q=place_id:ChIJUQRpLztnXj4RNf69CQV3VnY,Domestic,Unknown
Zayed Port,Abu Dhabi,United Arab Emirates,Zayed Port - Abu Dhabi - United Arab Emirates,24.5183906,54.376425,https://www.google.com/maps/place/?q=place_id:ChIJS7ueP91mXj4RPhJEjDzuGJA,Domestic,Unknown
ADPorts Facility Management (Zayed Port),Abu Dhabi,United Arab Emirates,4 Al Wudouh St,24.5172279,54.3748246,https://www.google.com/maps/place/?q=place_id:ChIJIXWqgiJnXj4RKYEQKnX46Kg,Domestic,Unknown
Port Saeed Studio & Stores,Abu Dhabi,United Arab Emirates,F9R8+6WJ,24.4905576,54.3673086,https://www.google.com/maps/place/?q=place_id:ChIJaa72l2dmXj4RbjI0nEYD6W4,Domestic,Unknown
Musaffah Port administration (VTS) Tower AD Ports,Abu Dhabi,United Arab Emirates,9FJ9+HHX - 6th St,24.3814997,54.4684796,https://www.google.com/maps/place/?q=place_id:ChIJyyEMUwBBXj4R9Hq-cyB4nAc,Domestic,Unknown
Kani Home - Cruise Terminal 1 (Abu Dhabi),Abu Dhabi,United Arab Emirates,Cruise Terminal,24.529905,54.3818642,https://www.google.com/maps/place/?q=place_id:ChIJl2AUn-hnXj4RANGrrB-An1I,Domestic,Unknown
Abu Dhabi Terminals / Khalifa Port Container Terminal,أبو ظبي,United Arab Emirates,Khalifa Port Container Terminal Building 70,24.806936,54.644405,https://www.google.com/maps/place/?q=place_id:ChIJrZxFF0_6Xj4R3UaPTZvhymA,Domestic,Unknown
OML Jetty,Abu Dhabi,United Arab Emirates,8F8H+H8W,24.3164891,54.4783358,https://www.google.com/maps/place/?q=place_id:ChIJXcaObXg_Xj4R32yEBuyUb8Q,Domestic,Unknown
Crash Port,Abu Dhabi,United Arab Emirates,G9CQ+X3W,24.5224833,54.3877183,https://www.google.com/maps/place/?q=place_id:ChIJ--cxegBnXj4RMc330aeufkw,Domestic,Unknown
St 7 / Mussafah Port,Abu Dhabi,United Arab Emirates,Musaffah - Musaffah Industrial - Abu Dhabi - United Arab Emirates,24.3782345,54.471057,https://www.google.com/maps/place/?q=place_id:ChIJXc_rjKNBXj4RTsHbnV2cpO4,Domestic,Unknown
Padel Port,Abu Dhabi,United Arab Emirates,G9HH+VHJ,24.5297118,54.3788785,https://www.google.com/maps/place/?q=place_id:ChIJ4wnusrVnXj4RFRADm9CUjvE,Domestic,Unknown
